"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chandler Cox","MIA","0.3","1.1","0.0","0.1","0.8","0.0","0.0","0.3"
"Anthony Sherman","KC","0.3","0.6","0.0","0.2","1.4","0.0","0.0","0.2"
"Dwayne Washington","NO","0.3","1.3","0.0","0.1","0.4","0.0","0.0","0.2"
"Elijhaa Penny","NYG","0.1","1.1","0.0","0.2","1.0","0.0","0.0","0.2"
"Reggie Gilliam","BUF","0.3","1.6","0.0","0.1","0.7","0.0","0.0","0.2"
"Andrew Beck","DEN","0.1","0.2","0.0","0.3","1.9","0.0","0.0","0.2"
"Rod Smith","NYG","0.2","0.7","0.0","0.1","0.5","0.0","0.0","0.2"
"Michael Burton","NO","0.1","0.3","0.0","0.1","1.3","0.0","0.0","0.2"
"Troymaine Pope","LAC","0.1","0.5","0.0","0.1","0.9","0.0","0.0","0.1"
"Elijah McGuire","DAL","0.1","0.3","0.0","0.1","0.5","0.0","0.0","0.1"
"Cullen Gillaspia","HOU","0.1","0.3","0.0","0.1","0.5","0.0","0.0","0.1"
"Jonathan Williams","DET","0.1","0.2","0.0","0.0","0.3","0.0","0.0","0.0"
"Raymond Calais","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryquell Armstead","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeremy McNichols","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeAndre Washington","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lynn Bowden Jr.","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
