"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Marvin Hall","DET","1.0","19.3","0.1","0.0","0.3","0.0","0.0","2.6"
"Nelson Agholor","LV","1.6","16.7","0.1","0.2","0.8","0.0","0.0","2.5"
"Trent Taylor","SF","1.8","20.0","0.1","0.0","0.0","0.0","0.0","2.5"
"Phillip Dorsett II","SEA","1.2","16.5","0.1","0.0","0.6","0.0","0.0","2.4"
"Equanimeous St. Brown","GB","1.2","17.6","0.1","0.1","0.3","0.0","0.0","2.4"
"Deonte Harris","NO","1.5","18.1","0.1","0.4","2.6","0.0","0.1","2.3"
"Cordarrelle Patterson","CHI","0.9","9.2","0.0","1.8","9.9","0.1","0.0","2.3"
"Tim Patrick","DEN","1.6","20.1","0.1","0.0","0.1","0.0","0.0","2.3"
"Ted Ginn Jr.","CHI","1.3","17.4","0.1","0.2","1.2","0.0","0.0","2.3"
"Andy Isabella","ARI","1.1","15.9","0.1","0.3","1.4","0.0","0.0","2.3"
"Darnell Mooney","CHI","1.2","16.1","0.1","0.0","0.2","0.0","0.0","2.1"
"Rashard Higgins","CLE","1.2","16.3","0.1","0.0","0.0","0.0","0.0","2.1"
"Braxton Berrios","NYJ","1.4","16.3","0.1","0.1","0.5","0.0","0.0","2.0"
"Josh Malone","NYJ","1.3","15.5","0.1","0.1","0.6","0.0","0.0","2.0"
"Devin Duvernay","BAL","1.1","14.5","0.1","0.1","0.5","0.0","0.0","2.0"
"Jalen Guyton","LAC","1.2","15.4","0.1","0.0","0.2","0.0","0.0","2.0"
"Dante Pettis","SF","1.0","14.4","0.1","0.0","0.1","0.0","0.0","1.9"
"DaeSean Hamilton","DEN","1.4","14.0","0.1","0.0","0.0","0.0","0.0","1.8"
"Jakobi Meyers","NE","1.1","13.9","0.1","0.0","0.0","0.0","0.0","1.7"
"Alex Erickson","CIN","1.1","12.1","0.0","0.2","1.2","0.0","0.0","1.6"
"Austin Carr","NO","1.0","11.7","0.1","0.0","0.0","0.0","0.0","1.5"
"Seth Roberts","CAR","0.9","10.8","0.1","0.0","0.0","0.0","0.0","1.5"
"Justin Watson","TB","1.0","10.7","0.1","0.0","0.1","0.0","0.0","1.5"
"KhaDarel Hodge","CLE","0.9","11.6","0.0","0.2","0.3","0.0","0.0","1.5"
"Mohamed Sanu","SF","1.0","10.9","0.1","0.0","0.2","0.0","0.0","1.5"
"Javon Wims","CHI","0.9","10.1","0.1","0.0","0.0","0.0","0.0","1.4"
"DeAndre Carter","HOU","0.9","11.4","0.0","0.1","0.5","0.0","0.0","1.3"
"Isaiah McKenzie","BUF","0.9","9.5","0.0","0.1","1.1","0.0","0.0","1.3"
"Gabriel Davis","BUF","0.7","9.6","0.1","0.0","0.1","0.0","0.0","1.3"
"KJ Hamler","DEN","0.8","9.8","0.0","0.1","0.3","0.0","0.0","1.3"
