"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Keke Coutee","HOU","0.6","6.9","0.0","0.1","0.6","0.0","0.0","0.9"
"Tajae Sharpe","MIN","0.6","7.2","0.0","0.0","0.0","0.0","0.0","0.9"
"KeeSean Johnson","ARI","0.7","7.8","0.0","0.0","0.1","0.0","0.0","0.8"
"Khadarel Hodge","CLE","0.5","6.8","0.0","0.1","0.3","0.0","0.0","0.8"
"Olamide Zaccheaus","ATL","0.5","6.8","0.0","0.0","0.0","0.0","0.0","0.8"
"Darrius Shepherd","GB","0.5","6.2","0.0","0.0","0.0","0.0","0.0","0.8"
"Isaiah McKenzie","BUF","0.6","6.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Jason Moore","LAC","0.5","6.5","0.0","0.0","0.0","0.0","0.0","0.8"
"Seth Roberts","CAR","0.5","6.1","0.0","0.0","0.0","0.0","0.0","0.8"
"Freddie Swain","SEA","0.4","5.7","0.0","0.3","0.8","0.0","0.0","0.7"
"Damion Ratley","NYG","0.5","5.9","0.0","0.0","0.0","0.0","0.0","0.7"
"John Hightower","PHI","0.5","5.8","0.0","0.0","0.2","0.0","0.0","0.7"
"Trent Taylor","SF","0.6","6.8","0.0","0.0","0.0","0.0","0.0","0.7"
"Chad Beebe","MIN","0.4","6.1","0.0","0.0","0.1","0.0","0.0","0.7"
"Gabriel Davis","BUF","0.4","5.8","0.0","0.0","0.1","0.0","0.0","0.7"
"Riley Ridley","CHI","0.5","5.6","0.0","0.0","0.1","0.0","0.0","0.7"
"Alex Erickson","CIN","0.5","5.1","0.0","0.3","1.1","0.0","0.0","0.7"
"Gunner Olszewski","NE","0.4","5.6","0.0","0.0","0.1","0.0","0.0","0.7"
"Tyler Johnson","TB","0.4","5.2","0.0","0.1","0.4","0.0","0.0","0.6"
"Quintez Cephus","DET","0.5","6.0","0.0","0.0","0.1","0.0","0.0","0.6"
"Deonte Harris","NO","0.3","3.9","0.0","0.3","1.1","0.0","0.0","0.6"
"DeAndre Carter","HOU","0.3","4.3","0.0","0.1","0.4","0.0","0.0","0.6"
"Noah Brown","DAL","0.4","4.7","0.0","0.0","0.0","0.0","0.0","0.6"
"Pharoh Cooper","CAR","0.4","4.5","0.0","0.0","0.1","0.0","0.0","0.6"
"James Proche","BAL","0.3","4.5","0.0","0.0","0.2","0.0","0.0","0.5"
"Victor Bolden Jr.","DET","0.4","4.5","0.0","0.0","0.0","0.0","0.0","0.5"
"Byron Pringle","KC","0.3","4.2","0.0","0.0","0.0","0.0","0.0","0.5"
"C.J. Board","NYG","0.3","4.2","0.0","0.0","0.1","0.0","0.0","0.5"
"Darnell Mooney","CHI","0.4","5.2","0.0","0.0","0.1","0.0","0.0","0.5"
